id,playerName,position,age,games,gamesStarted,minutesPg,fieldGoals,fieldAttempts,fieldPercent,threeFg,threeAttempts,threePercent,twoFg,twoAttempts,twoPercent,effectFgPercent,ft,ftAttempts,ftPercent,offensiveRb,defensiveRb,totalRb,assists,steals,blocks,turnovers,personalFouls,points,team,season,playerId
18127,Jalen Crutcher,PG,24,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,NOP,2024,crutcja01
17979,Precious Achiuwa,PF-C,24,74,18,1624,235,469,0.501,26,97,0.268,209,372,0.562,0.529,69,112,0.616,191,296,487,97,46,68,83,143,565,TOT,2024,achiupr01
17980,Precious Achiuwa,C,24,25,0,437,78,170,0.459,13,47,0.277,65,123,0.528,0.497,24,42,0.571,50,86,136,44,16,12,29,40,193,TOR,2024,achiupr01
17981,Precious Achiuwa,PF,24,49,18,1187,157,299,0.525,13,50,0.26,144,249,0.578,0.547,45,70,0.643,141,210,351,53,30,56,54,103,372,NYK,2024,achiupr01
17982,Bam Adebayo,C,26,71,71,2416,530,1017,0.521,15,42,0.357,515,975,0.528,0.529,292,387,0.755,159,578,737,278,81,66,162,159,1367,MIA,2024,adebaba01
17983,Ochai Agbaji,SG,23,78,28,1641,178,433,0.411,62,211,0.294,116,222,0.523,0.483,37,56,0.661,74,142,216,83,47,44,64,117,455,TOT,2024,agbajoc01
17984,Ochai Agbaji,SG,23,51,10,1003,106,249,0.426,47,142,0.331,59,107,0.551,0.52,15,20,0.75,35,91,126,47,27,29,34,66,274,UTA,2024,agbajoc01
17985,Ochai Agbaji,SG,23,27,18,638,72,184,0.391,15,69,0.217,57,115,0.496,0.432,22,36,0.611,39,51,90,36,20,15,30,51,181,TOR,2024,agbajoc01
17986,Santi Aldama,PF,23,61,35,1618,247,568,0.435,106,304,0.349,141,264,0.534,0.528,54,87,0.621,72,280,352,138,43,54,69,89,654,MEM,2024,aldamsa01
17987,Nickeil Alexander-Walker,SG,25,82,20,1921,236,538,0.439,131,335,0.391,105,203,0.517,0.56,52,65,0.8,35,132,167,204,64,42,76,143,655,MIN,2024,alexani01
17988,Grayson Allen,SG,28,75,74,2513,340,682,0.499,205,445,0.461,135,237,0.57,0.649,129,147,0.878,48,247,295,227,69,45,95,157,1014,PHO,2024,allengr01
17989,Jarrett Allen,C,25,77,77,2442,519,819,0.634,0,6,0,519,813,0.638,0.634,233,314,0.742,243,568,811,210,53,81,121,147,1271,CLE,2024,allenja01
17990,Timmy Allen,SF,24,5,0,125,6,23,0.261,0,7,0,6,16,0.375,0.261,1,2,0.5,4,13,17,5,4,0,2,18,13,MEM,2024,allenti01
17991,Jose Alvarado,PG,25,56,0,1028,142,345,0.412,78,207,0.377,64,138,0.464,0.525,35,52,0.673,25,103,128,117,59,15,40,89,397,NOP,2024,alvarjo01
17992,Kyle Anderson,PF,30,79,10,1782,199,433,0.46,11,48,0.229,188,385,0.488,0.472,97,137,0.708,60,213,273,331,71,47,91,128,506,MIN,2024,anderky01
17993,Giannis Antetokounmpo,PF,29,73,73,2567,837,1369,0.611,34,124,0.274,803,1245,0.645,0.624,514,782,0.657,196,645,841,476,87,79,250,210,2222,MIL,2024,antetgi01
17994,Thanasis Antetokounmpo,PF,31,34,0,155,16,30,0.533,0,1,0,16,29,0.552,0.533,0,2,0,7,6,13,17,7,4,14,24,32,MIL,2024,antetth01
17995,Cole Anthony,PG,23,81,0,1817,332,763,0.435,93,275,0.338,239,488,0.49,0.496,180,218,0.826,64,247,311,236,64,37,126,175,937,ORL,2024,anthoco01
17996,OG Anunoby,SF,26,50,50,1702,282,577,0.489,102,267,0.382,180,310,0.581,0.577,67,89,0.753,47,161,208,107,68,36,81,119,733,TOT,2024,anunoog01
17997,OG Anunoby,SF,26,27,27,900,157,321,0.489,61,163,0.374,96,158,0.608,0.584,33,46,0.717,24,82,106,72,28,13,43,62,408,TOR,2024,anunoog01
17998,OG Anunoby,SF,26,23,23,802,125,256,0.488,41,104,0.394,84,152,0.553,0.568,34,43,0.791,23,79,102,35,40,23,38,57,325,NYK,2024,anunoog01
17999,Ryan Arcidiacono,PG,29,20,0,45,0,6,0,0,6,0,0,0,,0,0,0,,0,8,8,4,2,0,2,5,0,NYK,2024,arcidry01
18000,Deni Avdija,SF,23,75,75,2257,406,803,0.506,88,235,0.374,318,568,0.56,0.56,202,273,0.74,84,456,540,286,60,36,160,185,1102,WAS,2024,avdijde01
18001,Deandre Ayton,C,25,55,55,1784,427,749,0.57,1,10,0.1,426,739,0.576,0.571,65,79,0.823,176,433,609,90,56,42,99,109,920,POR,2024,aytonde01
18002,Udoka Azubuike,C,24,16,0,113,16,23,0.696,0,0,,16,23,0.696,0.696,3,13,0.231,11,21,32,3,1,6,4,17,35,PHO,2024,azubuud01
18003,Ibou Badji,C,21,22,1,226,14,22,0.636,0,0,,14,22,0.636,0.636,6,12,0.5,20,31,51,13,3,20,15,46,34,POR,2024,badjiib01
18004,Marvin Bagley III,C,24,50,25,1053,239,408,0.586,9,23,0.391,230,385,0.597,0.597,96,126,0.762,130,182,312,55,20,33,59,81,583,TOT,2024,baglema01
18005,Marvin Bagley III,C,24,26,10,478,107,181,0.591,1,6,0.167,106,175,0.606,0.594,50,61,0.82,46,72,118,27,5,14,29,40,265,DET,2024,baglema01
18208,Taj Gibson,PF,38,16,1,165,7,23,0.304,0,6,0,7,17,0.412,0.304,2,2,1,10,18,28,9,2,6,5,28,16,NYK,2024,gibsota01
18006,Marvin Bagley III,C,24,24,15,575,132,227,0.581,8,17,0.471,124,210,0.59,0.599,46,65,0.708,84,110,194,28,15,19,30,41,318,WAS,2024,baglema01
18007,Amari Bailey,PG,19,10,0,65,8,24,0.333,1,8,0.125,7,16,0.438,0.354,6,7,0.857,6,3,9,7,3,0,4,2,23,CHO,2024,baileam01
18008,Patrick Baldwin Jr.,SF,21,38,7,493,59,155,0.381,31,97,0.32,28,58,0.483,0.481,19,28,0.679,17,106,123,29,18,15,19,56,168,WAS,2024,baldwpa01
18009,LaMelo Ball,PG,22,22,22,711,183,423,0.433,70,197,0.355,113,226,0.5,0.515,90,104,0.865,29,84,113,176,40,4,83,79,526,CHO,2024,ballla01
18010,Mo Bamba,C,25,57,17,740,97,198,0.49,25,64,0.391,72,134,0.537,0.553,34,50,0.68,77,161,238,41,22,60,39,101,253,PHI,2024,bambamo01
